index,Question,Segment Type,Segment Description,Answer,Count,Percentage,Count_log,Facebook,Instagram,Snapchat,Twitter,nan,Count_standardized,Percentage_standardized
56,What social platform has influenced your online shopping most?,University,"University of California, Santa Barbara",Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
57,What social platform has influenced your online shopping most?,University,"University of California, Santa Barbara",Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
58,What social platform has influenced your online shopping most?,University,"University of California, Santa Barbara",Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
59,What social platform has influenced your online shopping most?,University,"University of California, Santa Barbara",nan,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.43586745633140567,-0.7050439820234969
60,What social platform has influenced your online shopping most?,University,University of Memphis,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
61,What social platform has influenced your online shopping most?,University,University of Memphis,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
62,What social platform has influenced your online shopping most?,University,University of Memphis,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
63,What social platform has influenced your online shopping most?,University,University of Memphis,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
64,What social platform has influenced your online shopping most?,University,University of Memphis,nan,1,1.0,0.6931471805599453,0.0,0.0,0.0,0.0,1.0,-0.41638912033078446,2.8978644388705295
65,What social platform has influenced your online shopping most?,University,Auburn University,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
66,What social platform has influenced your online shopping most?,University,Auburn University,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
67,What social platform has influenced your online shopping most?,University,Auburn University,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
68,What social platform has influenced your online shopping most?,University,Auburn University,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
